1,1801,364,1,2013/03/31
2,1801,192,3,2013/03/31
1,1802,861,2,2013/10/01
2,1802,850,1,2013/10/01
3,1802,985,3,2013/10/01
4,1802,830,1,2013/10/01
5,1802,1678,3,2013/10/01
6,1802,657,1,2013/10/01
7,1802,1710,1,2013/10/01
8,1802,1216,2,2013/10/01
1,1803,290,3,2013/10/13
2,1803,1712,3,2013/10/13
3,1803,668,1,2013/10/13
4,1803,344,1,2013/10/13
5,1803,1735,1,2013/10/13
6,1803,1308,3,2013/10/13
7,1803,1247,2,2013/10/13
1,1804,336,3,2013/10/26
1,1805,467,1,2013/10/17
2,1805,1077,1,2013/10/17
1,1806,97,3,2013/10/09
2,1806,605,1,2013/10/09
3,1806,26,1,2013/10/09
4,1806,1080,1,2013/10/09
5,1806,602,1,2013/10/09
1,1807,42,3,2013/10/30
2,1807,1299,2,2013/10/30
3,1807,1173,3,2013/10/30
4,1807,1660,3,2013/10/30
5,1807,1767,2,2013/10/30
6,1807,430,2,2013/10/30
7,1807,1515,2,2013/10/30
1,1808,706,3,2013/10/17
2,1808,701,1,2013/10/17
3,1808,1999,2,2013/10/17
4,1808,1451,3,2013/10/17
5,1808,1092,2,2013/10/17
6,1808,1315,1,2013/10/17
1,1809,850,1,2013/10/11
2,1809,1101,3,2013/10/11
3,1809,389,3,2013/10/11
4,1809,1367,3,2013/10/11
5,1809,1824,3,2013/10/11
6,1809,1556,2,2013/10/11
7,1809,558,3,2013/10/11
8,1809,1667,3,2013/10/11
9,1809,984,2,2013/10/11
1,1810,1568,3,2013/10/13
2,1810,1211,2,2013/10/13
3,1810,625,1,2013/10/13
4,1810,246,1,2013/10/13
5,1810,797,1,2013/10/13
6,1810,338,2,2013/10/13
7,1810,1942,1,2013/10/13
8,1810,629,2,2013/10/13
9,1810,169,1,2013/10/13
1,1811,1801,3,2013/10/07
2,1811,1303,1,2013/10/07
3,1811,1360,1,2013/10/07
4,1811,1730,2,2013/10/07
5,1811,846,1,2013/10/07
6,1811,605,1,2013/10/07
1,1812,907,1,2013/10/09
2,1812,1494,1,2013/10/09
3,1812,973,2,2013/10/09
4,1812,1582,3,2013/10/09
5,1812,347,2,2013/10/09
1,1813,864,2,2013/10/14
1,1814,1822,3,2013/10/03
2,1814,433,3,2013/10/03
3,1814,1654,1,2013/10/03
4,1814,799,3,2013/10/03
5,1814,175,2,2013/10/03
6,1814,1454,2,2013/10/03
7,1814,328,2,2013/10/03
1,1815,1969,2,2013/10/06
2,1815,74,3,2013/10/06
1,1816,495,2,2013/10/20
2,1816,1568,2,2013/10/20
3,1816,1664,3,2013/10/20
4,1816,1926,3,2013/10/20
5,1816,1880,1,2013/10/20
6,1816,947,2,2013/10/20
1,1817,1400,3,2013/10/23
2,1817,712,3,2013/10/23
3,1817,287,3,2013/10/23
4,1817,334,3,2013/10/23
5,1817,1112,3,2013/10/23
1,1818,896,2,2013/10/14
2,1818,458,3,2013/10/14
3,1818,497,3,2013/10/14
4,1818,21,1,2013/10/14
5,1818,786,1,2013/10/14
6,1818,1113,1,2013/10/14
7,1818,1096,1,2013/10/14
8,1818,920,1,2013/10/14
9,1818,795,2,2013/10/14
1,1819,1075,2,2013/10/02
2,1819,1291,1,2013/10/02
3,1819,1085,3,2013/10/02
4,1819,482,2,2013/10/02
5,1819,1428,2,2013/10/02
1,1820,1994,2,2013/10/24
2,1820,1352,3,2013/10/24
3,1820,1081,2,2013/10/24
4,1820,1235,1,2013/10/24
5,1820,1040,3,2013/10/24
6,1820,632,3,2013/10/24
7,1820,1843,1,2013/10/24
8,1820,891,1,2013/10/24
1,1821,1858,1,2013/10/31
2,1821,23,2,2013/10/31
1,1822,1712,3,2013/10/17
2,1822,794,3,2013/10/17
3,1822,1668,3,2013/10/17
4,1822,1128,3,2013/10/17
5,1822,1051,1,2013/10/17
6,1822,1413,1,2013/10/17
1,1823,1371,2,2013/10/05
2,1823,1237,1,2013/10/05
3,1823,88,1,2013/10/05
4,1823,137,2,2013/10/05
5,1823,1057,3,2013/10/05
1,1824,73,2,2013/10/02
2,1824,674,1,2013/10/02
3,1824,32,3,2013/10/02
4,1824,1690,3,2013/10/02
5,1824,1884,1,2013/10/02
6,1824,500,3,2013/10/02
7,1824,876,3,2013/10/02
1,1825,322,3,2013/10/14
1,1826,1478,3,2013/10/10
2,1826,1473,1,2013/10/10
3,1826,1647,2,2013/10/10
4,1826,743,3,2013/10/10
5,1826,534,2,2013/10/10
6,1826,1117,2,2013/10/10
7,1826,1330,2,2013/10/10
8,1826,793,3,2013/10/10
1,1827,915,1,2013/10/19
2,1827,1428,3,2013/10/19
3,1827,1406,1,2013/10/19
4,1827,1204,1,2013/10/19
1,1828,1840,1,2013/10/10
2,1828,1251,1,2013/10/10
3,1828,915,2,2013/10/10
1,1829,1329,1,2013/10/18
2,1829,277,3,2013/10/18
3,1829,271,2,2013/10/18
1,1830,885,1,2013/10/28
2,1830,1155,3,2013/10/28
3,1830,1582,1,2013/10/28
4,1830,84,3,2013/10/28
5,1830,803,3,2013/10/28
6,1830,1382,1,2013/10/28
7,1830,415,1,2013/10/28
8,1830,103,1,2013/10/28
1,1831,446,3,2013/10/05
2,1831,1160,2,2013/10/05
3,1831,523,3,2013/10/05
4,1831,1983,2,2013/10/05
5,1831,1304,3,2013/10/05
1,1832,1793,2,2013/10/19
2,1832,1060,2,2013/10/19
3,1832,595,2,2013/10/19
4,1832,900,2,2013/10/19
5,1832,1396,3,2013/10/19
6,1832,1454,3,2013/10/19
7,1832,1298,2,2013/10/19
8,1832,293,3,2013/10/19
1,1833,23,1,2013/10/22
2,1833,1781,3,2013/10/22
3,1833,350,1,2013/10/22
4,1833,564,2,2013/10/22
5,1833,1835,3,2013/10/22
6,1833,344,1,2013/10/22
7,1833,1654,1,2013/10/22
8,1833,1639,2,2013/10/22
1,1834,235,3,2013/10/30
2,1834,273,3,2013/10/30
3,1834,1674,3,2013/10/30
4,1834,1360,2,2013/10/30
5,1834,1825,2,2013/10/30
6,1834,1694,3,2013/10/30
1,1835,353,2,2013/10/14
2,1835,1410,1,2013/10/14
3,1835,413,2,2013/10/14
4,1835,854,2,2013/10/14
5,1835,1610,2,2013/10/14
6,1835,181,1,2013/10/14
7,1835,844,1,2013/10/14
8,1835,1830,1,2013/10/14
1,1836,1625,3,2013/10/19
2,1836,89,2,2013/10/19
3,1836,520,2,2013/10/19
1,1837,503,1,2013/10/29
2,1837,1539,2,2013/10/29
3,1837,750,3,2013/10/29
4,1837,102,3,2013/10/29
1,1838,610,1,2013/10/21
2,1838,1658,2,2013/10/21
3,1838,339,3,2013/10/21
4,1838,9,1,2013/10/21
5,1838,1821,3,2013/10/21
6,1838,1112,2,2013/10/21
7,1838,1114,1,2013/10/21
8,1838,176,1,2013/10/21
9,1838,1175,1,2013/10/21
1,1839,15,1,2013/10/06
2,1839,555,2,2013/10/06
3,1839,1642,1,2013/10/06
4,1839,1454,1,2013/10/06
5,1839,117,1,2013/10/06
6,1839,1914,3,2013/10/06
7,1839,253,1,2013/10/06
8,1839,100,2,2013/10/06
1,1840,1656,1,2013/10/18
2,1840,1135,2,2013/10/18
3,1840,72,1,2013/10/18
4,1840,304,2,2013/10/18
5,1840,733,1,2013/10/18
1,1841,1860,1,2013/10/22
2,1841,1337,2,2013/10/22
3,1841,940,1,2013/10/22
4,1841,1227,1,2013/10/22
5,1841,140,2,2013/10/22
1,1842,1566,2,2013/10/02
2,1842,828,2,2013/10/02
3,1842,342,1,2013/10/02
4,1842,909,1,2013/10/02
5,1842,51,3,2013/10/02
6,1842,781,1,2013/10/02
1,1843,83,2,2013/10/10
2,1843,759,2,2013/10/10
3,1843,1052,3,2013/10/10
4,1843,1585,3,2013/10/10
5,1843,1551,3,2013/10/10
6,1843,402,3,2013/10/10
7,1843,122,2,2013/10/10
1,1844,1456,1,2013/10/22
2,1844,1818,2,2013/10/22
3,1844,1262,3,2013/10/22
4,1844,518,2,2013/10/22
5,1844,1247,3,2013/10/22
6,1844,851,1,2013/10/22
1,1845,412,2,2013/10/07
1,1846,777,3,2013/10/04
2,1846,874,3,2013/10/04
3,1846,972,3,2013/10/04
1,1847,65,3,2013/10/18
2,1847,291,3,2013/10/18
1,1848,1408,3,2013/10/17
2,1848,1739,1,2013/10/17
3,1848,2000,2,2013/10/17
4,1848,670,2,2013/10/17
5,1848,1040,3,2013/10/17
6,1848,1817,2,2013/10/17
7,1848,1828,1,2013/10/17
1,1849,753,1,2013/10/18
2,1849,493,1,2013/10/18
3,1849,284,1,2013/10/18
4,1849,1408,1,2013/10/18
5,1849,1536,2,2013/10/18
6,1849,1304,2,2013/10/18
7,1849,1345,3,2013/10/18
8,1849,32,3,2013/10/18
1,1850,905,1,2013/10/19
2,1850,1927,1,2013/10/19
3,1850,412,3,2013/10/19
4,1850,1321,3,2013/10/19
1,1851,1158,2,2013/10/24
2,1851,1683,3,2013/10/24
3,1851,486,1,2013/10/24
4,1851,1300,1,2013/10/24
5,1851,885,1,2013/10/24
6,1851,950,1,2013/10/24
1,1852,739,1,2013/10/21
2,1852,331,2,2013/10/21
3,1852,890,2,2013/10/21
4,1852,1419,2,2013/10/21
1,1853,1156,1,2013/10/02
1,1854,1030,3,2013/10/19
2,1854,1140,2,2013/10/19
3,1854,619,1,2013/10/19
4,1854,1236,2,2013/10/19
5,1854,1091,1,2013/10/19
6,1854,1043,2,2013/10/19
7,1854,1055,2,2013/10/19
8,1854,1363,1,2013/10/19
9,1854,1703,1,2013/10/19
1,1855,604,1,2013/10/11
2,1855,1261,2,2013/10/11
3,1855,96,3,2013/10/11
4,1855,1528,3,2013/10/11
5,1855,431,3,2013/10/11
6,1855,903,3,2013/10/11
7,1855,574,1,2013/10/11
1,1856,860,3,2013/10/21
2,1856,1706,1,2013/10/21
3,1856,302,2,2013/10/21
4,1856,1683,1,2013/10/21
5,1856,1061,2,2013/10/21
6,1856,855,1,2013/10/21
7,1856,915,1,2013/10/21
8,1856,1120,1,2013/10/21
9,1856,1978,3,2013/10/21
1,1857,499,2,2013/10/13
2,1857,1735,2,2013/10/13
3,1857,1676,1,2013/10/13
4,1857,357,2,2013/10/13
5,1857,344,1,2013/10/13
6,1857,1456,3,2013/10/13
7,1857,1099,1,2013/10/13
8,1857,1710,1,2013/10/13
9,1857,1860,3,2013/10/13
1,1858,923,2,2013/10/14
2,1858,467,3,2013/10/14
3,1858,143,3,2013/10/14
1,1859,1592,2,2013/10/06
1,1860,1845,2,2013/10/01
2,1860,708,3,2013/10/01
3,1860,139,1,2013/10/01
4,1860,1562,1,2013/10/01
5,1860,1358,1,2013/10/01
1,1861,1678,3,2013/10/26
2,1861,1546,1,2013/10/26
3,1861,1009,1,2013/10/26
4,1861,49,2,2013/10/26
5,1861,331,3,2013/10/26
1,1862,317,3,2013/10/29
2,1862,1256,1,2013/10/29
3,1862,894,2,2013/10/29
4,1862,1286,3,2013/10/29
5,1862,232,1,2013/10/29
6,1862,2,2,2013/10/29
7,1862,391,2,2013/10/29
1,1863,346,1,2013/10/04
1,1864,50,3,2013/10/07
1,1865,442,3,2013/10/15
2,1865,1244,1,2013/10/15
3,1865,324,3,2013/10/15
4,1865,1693,3,2013/10/15
1,1866,1884,3,2013/10/13
2,1866,1013,1,2013/10/13
1,1867,1475,3,2013/10/10
2,1867,334,2,2013/10/10
3,1867,958,3,2013/10/10
4,1867,561,3,2013/10/10
5,1867,979,1,2013/10/10
6,1867,1244,1,2013/10/10
7,1867,1899,1,2013/10/10
8,1867,1483,3,2013/10/10
1,1868,1488,3,2013/10/04
2,1868,250,1,2013/10/04
3,1868,1239,2,2013/10/04
1,1869,28,3,2013/10/08
2,1869,483,3,2013/10/08
1,1870,63,2,2013/10/16
2,1870,1695,1,2013/10/16
3,1870,1148,1,2013/10/16
1,1871,713,2,2013/10/28
2,1871,619,2,2013/10/28
3,1871,1218,1,2013/10/28
4,1871,1133,1,2013/10/28
1,1872,1683,3,2013/10/11
2,1872,1214,2,2013/10/11
3,1872,1356,2,2013/10/11
4,1872,1297,1,2013/10/11
5,1872,1141,2,2013/10/11
6,1872,1096,1,2013/10/11
1,1873,1846,1,2013/10/16
2,1873,939,2,2013/10/16
3,1873,1999,2,2013/10/16
1,1874,1341,1,2013/10/07
2,1874,1300,2,2013/10/07
3,1874,411,2,2013/10/07
4,1874,1922,2,2013/10/07
5,1874,940,2,2013/10/07
6,1874,638,3,2013/10/07
7,1874,1124,3,2013/10/07
8,1874,1837,2,2013/10/07
1,1875,636,2,2013/10/05
2,1875,1411,3,2013/10/05
3,1875,1833,2,2013/10/05
4,1875,928,3,2013/10/05
5,1875,1390,1,2013/10/05
6,1875,919,2,2013/10/05
1,1876,697,1,2013/10/08
2,1876,908,2,2013/10/08
3,1876,109,2,2013/10/08
4,1876,1436,2,2013/10/08
5,1876,1456,2,2013/10/08
6,1876,736,3,2013/10/08
7,1876,234,3,2013/10/08
8,1876,1584,2,2013/10/08
9,1876,1131,1,2013/10/08
1,1877,889,2,2013/10/22
2,1877,982,2,2013/10/22
3,1877,373,2,2013/10/22
4,1877,339,1,2013/10/22
5,1877,1673,1,2013/10/22
6,1877,1539,3,2013/10/22
7,1877,1303,1,2013/10/22
8,1877,1683,3,2013/10/22
1,1878,1140,3,2013/10/23
2,1878,1735,3,2013/10/23
3,1878,1455,3,2013/10/23
4,1878,1839,1,2013/10/23
1,1879,1833,1,2013/10/03
2,1879,1778,2,2013/10/03
3,1879,1820,2,2013/10/03
4,1879,586,1,2013/10/03
5,1879,527,3,2013/10/03
6,1879,1516,1,2013/10/03
7,1879,1332,3,2013/10/03
8,1879,689,3,2013/10/03
9,1879,829,1,2013/10/03
1,1880,1559,3,2013/10/13
2,1880,1018,1,2013/10/13
3,1880,871,1,2013/10/13
4,1880,1738,3,2013/10/13
5,1880,550,2,2013/10/13
6,1880,275,1,2013/10/13
7,1880,1404,2,2013/10/13
8,1880,908,3,2013/10/13
