1001,2013/02/17,1459,65.12,5.37,70.49
1002,2013/06/15,2221,52.62,4.34,56.96
1003,2013/06/12,2252,283.99,23.43,307.42
1004,2013/06/09,3459,49.11,4.05,53.16
1005,2013/06/07,1823,26.76,2.21,28.97
1006,2013/06/13,137,105.22,8.68,113.90
1007,2013/06/01,350,300.87,24.82,325.69
1008,2013/06/07,1591,69.73,5.75,75.48
1009,2013/06/25,3629,376.10,31.03,407.13
1010,2013/06/05,2292,209.45,17.28,226.73
1011,2013/06/14,2484,55.99,4.62,60.61
1012,2013/06/17,465,173.56,14.32,187.88
1013,2013/06/09,1363,285.92,23.59,309.51
1014,2013/06/28,1348,283.42,23.38,306.80
1015,2013/06/18,1350,8.66,0.71,9.37
1016,2013/06/09,1397,28.95,2.39,31.34
1017,2013/06/09,1421,331.80,27.37,359.17
1018,2013/06/01,716,97.71,8.06,105.77
1019,2013/06/08,2124,134.20,11.07,145.27
1020,2013/06/14,1134,207.56,17.12,224.68
1021,2013/06/14,1345,333.23,27.49,360.72
1022,2013/06/20,201,288.93,23.84,312.77
1023,2013/06/08,3352,334.09,27.56,361.65
1024,2013/06/09,3724,311.21,25.67,336.88
1025,2013/06/26,2416,253.09,20.88,273.97
1026,2013/06/27,1058,249.21,20.56,269.77
1027,2013/06/14,1355,120.79,9.97,130.76
1028,2013/06/15,1679,231.61,19.11,250.72
1029,2013/06/02,3681,86.13,7.11,93.24
1030,2013/06/14,380,160.58,13.25,173.83
1031,2013/06/05,1014,213.34,17.60,230.94
1032,2013/06/27,29,394.45,32.54,426.99
1033,2013/06/30,1021,27.13,2.24,29.37
1034,2013/06/21,1326,349.31,28.82,378.13
1035,2013/06/21,2052,26.64,2.20,28.84
1036,2013/06/07,1879,252.07,20.80,272.87
1037,2013/06/02,3385,158.66,13.09,171.75
1038,2013/06/04,674,234.31,19.33,253.64
1039,2013/06/22,484,278.48,22.97,301.45
1040,2013/06/28,777,159.38,13.15,172.53
1041,2013/06/29,2446,231.88,19.13,251.01
1042,2013/06/26,2994,327.52,27.02,354.54
1043,2013/06/22,3339,373.89,30.85,404.74
1044,2013/06/09,3353,202.61,16.72,219.33
1045,2013/06/02,3172,170.20,14.04,184.24
1046,2013/06/01,3731,138.70,11.44,150.14
1047,2013/06/18,1791,102.63,8.47,111.10
1048,2013/06/01,1387,7.78,0.64,8.42
1049,2013/06/28,3558,146.38,12.08,158.46
1050,2013/06/08,3824,197.32,16.28,213.60
1051,2013/06/29,1279,43.29,3.57,46.86
1052,2013/06/09,3740,6.98,0.58,7.56
1053,2013/06/13,1955,346.17,28.56,374.73
1054,2013/06/24,3923,391.58,32.31,423.89
1055,2013/06/01,2484,379.66,31.32,410.98
1056,2013/06/11,2947,396.45,32.71,429.16
1057,2013/06/03,2271,392.51,32.38,424.89
1058,2013/06/18,1595,270.20,22.29,292.49
1059,2013/06/09,1219,80.93,6.68,87.61
1060,2013/06/27,3429,205.07,16.92,221.99
1061,2013/06/11,1119,131.01,10.81,141.82
1062,2013/06/06,3509,357.76,29.52,387.28
1063,2013/06/24,815,260.47,21.49,281.96
1064,2013/06/15,3600,337.40,27.84,365.24
1065,2013/06/12,1505,330.58,27.27,357.85
1066,2013/06/26,3275,169.67,14.00,183.67
1067,2013/06/17,2353,360.66,29.75,390.41
1068,2013/06/10,697,282.27,23.29,305.56
