1801,2013/03/31,2007,258.42,21.32,279.74
1802,2013/10/01,198,111.39,9.19,120.58
1803,2013/10/13,53,295.63,24.39,320.02
1804,2013/10/26,2161,7.71,0.64,8.35
1805,2013/10/17,2420,344.52,28.42,372.94
1806,2013/10/09,1633,276.51,22.81,299.32
1807,2013/10/30,3482,242.25,19.99,262.24
1808,2013/10/17,191,349.35,28.82,378.17
1809,2013/10/11,3312,108.60,8.96,117.56
1810,2013/10/13,657,141.98,11.71,153.69
1811,2013/10/07,1854,57.73,4.76,62.49
1812,2013/10/09,217,188.69,15.57,204.26
1813,2013/10/14,2247,323.23,26.67,349.90
1814,2013/10/03,878,374.61,30.91,405.52
1815,2013/10/06,1351,305.18,25.18,330.36
1816,2013/10/20,517,55.52,4.58,60.10
1817,2013/10/23,1401,168.99,13.94,182.93
1818,2013/10/14,670,28.67,2.37,31.04
1819,2013/10/02,2510,164.13,13.54,177.67
1820,2013/10/24,1582,18.05,1.49,19.54
1821,2013/10/31,412,338.19,27.90,366.09
1822,2013/10/17,2726,12.88,1.06,13.94
1823,2013/10/05,784,214.68,17.71,232.39
1824,2013/10/02,2496,268.43,22.15,290.58
1825,2013/10/14,3331,358.79,29.60,388.39
1826,2013/10/10,727,317.05,26.16,343.21
1827,2013/10/19,431,158.56,13.08,171.64
1828,2013/10/10,3280,298.22,24.60,322.82
1829,2013/10/18,2885,317.80,26.22,344.02
1830,2013/10/28,3347,171.77,14.17,185.94
1831,2013/10/05,1771,201.97,16.66,218.63
1832,2013/10/19,2148,40.19,3.32,43.51
1833,2013/10/22,706,273.97,22.60,296.57
1834,2013/10/30,3971,127.90,10.55,138.45
1835,2013/10/14,1208,365.67,30.17,395.84
1836,2013/10/19,549,249.55,20.59,270.14
1837,2013/10/29,2536,61.50,5.07,66.57
1838,2013/10/21,656,219.63,18.12,237.75
1839,2013/10/06,1599,341.03,28.13,369.16
1840,2013/10/18,587,98.36,8.11,106.47
1841,2013/10/22,2791,90.39,7.46,97.85
1842,2013/10/02,1594,221.49,18.27,239.76
1843,2013/10/10,273,321.94,26.56,348.50
